time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,1144387.4965072852,9392542.627157662,493574.7960627228,232702.95835582569,663312.5864404647,894743.7636932876,365093.5735249978,475031.4573907805,280921.875138303,189097.59559797272,9461806.186230956,2107346.1543923886,266002.1043778483,959467.6707510875,610864.9392750601,2828611.690088785,530654.8112321922,1350458.417425436,170614.05456387423,1915750.1954716605,552541.615199033,320263.0789708728,1803571.58377054,869854.0285971474,435904.220034386,347892.6890529857
1972,38746.28270666362,292728.0324968988,21577.57462891637,5734.002056397209,53882.86771064217,24318.830612959886,13097.522774018345,12834.330271909676,7484.943530385493,7216.078632777461,305353.94799515256,34972.01402127423,16174.227975136884,13324.716664237925,7035.273651373861,40411.429537597876,35661.582426022665,32382.3958720248,3720.7935245074236,51391.13587787809,14061.239262960657,10867.006122326544,112107.48197478676,20316.118904673694,8409.289121913194,8078.732517839839
1973,94373.83202050946,512352.15189092065,46634.869335538664,14760.947675147034,93618.3855899954,49727.05350418803,14510.56140430317,17580.496186169912,8729.284699608908,12144.386020958975,543292.5695620588,122934.28049040993,19687.087254693783,107174.16886196815,76689.33535499153,230422.9657422491,45072.760899810164,38205.153394761444,10256.409036298506,86127.68643564168,29977.47251923285,15886.079909407335,157421.82532187976,53690.63614179404,9396.125592378028,23641.436756903462
1974,112959.54450323031,380889.7288302808,49926.159157731956,14036.756404129726,82375.14217609509,60799.40699915983,19688.77772002516,19129.653673972887,12206.51765549499,12920.619630447396,454241.8747002586,153694.96997186256,19707.159131092067,142350.551017121,79965.61713780391,253628.68480413858,47760.329431190905,55751.473986090685,10057.263283525255,91411.41224631046,27759.06393246607,19067.023342339195,63858.19028711455,58572.12024280598,19530.405662835477,28556.94073978113
1975,77231.65914438933,561711.4068347703,48352.790185768376,19758.810759909167,66983.21908328554,77565.99727791757,21779.270841627655,23832.564731630246,11956.663509531358,15489.843966139142,527817.3642686888,193838.50624986144,37935.619725069526,137465.42695146144,68645.69947936431,248532.26080594258,67624.09340875929,56912.043717001,9472.488420389582,93485.14205448914,32817.55073907532,21638.24644717824,147793.6800974134,55861.064547644855,28279.362804142827,39061.35870767784
1976,86418.34658085639,681517.3415777492,74817.7893365834,23327.060920015734,94301.02005494338,85534.9247109938,30894.180241241294,26815.5293074461,14014.642487800054,19475.618146850444,684535.4281909115,209139.55920453608,31082.696662813778,150430.31276972772,68121.84224157144,282355.25625437463,105197.3176528628,58859.17127054571,9003.663039561892,106767.85410987999,38514.28697780927,21753.939442846713,153319.39316142796,64405.177528684246,24873.371627125216,39051.17021393668
1977,80580.72200743851,750276.5426497519,83924.35990852266,25254.7542936847,75676.85073885083,116470.11228098218,40537.2030072981,32040.704425144577,14961.481359879692,21574.477567035025,677157.5215529914,238321.83549620293,48670.9475843288,149336.64811294922,69596.84162832797,274483.40697702,165056.9644607105,67882.85124169118,16355.966255717645,134170.35442630053,49285.36501313523,26590.079453906044,134989.52654614032,73592.35141932592,28389.880349794672,47582.47569274383
1978,68292.65582922168,725942.1223628004,82927.99174962501,22309.74191881157,93522.85464041342,94704.03129216694,39697.910079872214,32454.977426014055,13105.483122114882,22425.03226402727,486314.6704463992,187356.34328970028,32699.963517519616,116754.57518441684,20454.198043299097,136347.92812482917,141583.2464661862,78239.76315994475,19669.7445088246,154914.7059257069,38800.61603803257,30422.404110497442,158207.9830037612,52878.199783151715,32090.561602169582,38465.13362165404
1979,107920.74024962007,645397.0468610297,109231.16380194748,18669.135264730456,117608.96150016657,117354.30127332787,40760.5133681123,27767.710106774815,11595.136364479331,28611.319565860205,542218.6721408563,164301.52726717966,19269.652192500842,48306.17310740841,34032.83553408422,218466.68726325544,150690.7750717784,82415.85151885252,24151.231560165237,180681.6853068373,55085.23005741204,28722.36553095258,170036.6721416868,60244.75349187156,35619.12063330874,29788.52871602675
1980,77703.85855160003,447010.44137077295,107005.38666661967,15328.92494459129,173406.5565749624,112450.61098480315,49029.112504380486,30039.957134277796,14173.043959983243,32429.049101232322,484154.1226277385,126214.44380770238,21801.91757545899,42849.306175901176,41708.975450091886,260760.24249321705,126786.30586237507,75500.26800335839,8167.297808372931,176111.26246303512,52541.957067927724,33686.34774669905,104628.89301520145,60581.5386320028,32102.982816477812,30158.724533013577
