time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,78675801.74886052,706180883.5642806,75105311.93933497,16080776.63295586,77938146.38747352,122171444.29748903,46524638.73096176,32220766.923981037,18317658.65442089,11764414.114408504,977027210.5013342,133636765.7972558,46726118.05294179,59154896.808760256,34545943.343584344,185229332.2032566,93752318.88696778,247083676.96575478,36091747.81825515,337536535.50418407,85525023.5608105,21476401.960181557,192862984.86291882,60287604.08744845,26787552.266191624,29040063.486999307
1972,4579628.260125958,43640632.591997765,4304138.637465355,555373.653673933,8155803.4936223645,3667506.561603182,2070213.9948117298,1046469.4938213108,506658.5381989206,492782.73350105656,37578954.516188465,4136719.3006890337,2501752.592264611,1744232.3585395045,1101842.7582870957,5667115.447406129,7687719.262906525,5697394.848671982,933308.1312573812,9143633.64892077,2356645.1052376954,891941.1400920326,14446034.086490536,1711646.774555113,524681.8130300764,810251.5982820935
1973,4846788.802682196,45978142.292440906,4680935.617950492,769808.1457927539,10216094.627212081,3753932.252968854,1191773.9142158504,1190041.3121548065,542247.9175109745,518572.4720272534,43197065.831116416,4522303.672861358,1949241.950152111,2224006.12190395,1539196.086970684,6784655.707827673,3502799.888136456,5127135.377946512,1595396.1398170346,10126501.574578589,2627628.005113862,922982.3686438735,15012972.590527317,2739945.839797886,551809.0073465868,862232.4308911951
1974,4056859.7134924456,13368035.370088616,3795312.8333982723,392669.2113658131,10370740.69078559,3271931.632637162,1082097.901886073,1171435.6341247149,700766.5062653421,488420.30389155674,24951752.745633006,5789973.027412018,1939218.3192912652,2785974.8022613917,1774313.5037963833,8116038.534855063,1656036.0613792706,7128380.493605195,1793463.4572277337,9823148.787003737,2397417.1731516537,1131857.1826322123,6827991.705490202,3131383.160306767,1088084.8558484174,433725.40581901197
1975,3559947.303780147,12872274.840638448,3783982.645680973,601295.7124812905,4413185.274023096,4306536.14061698,1975004.4177625799,1389668.1088034739,758269.9270315996,520636.41022265085,15689918.702086171,5978757.215623248,2995157.0235837027,2732375.2649164153,1653463.0291962726,8227047.523563906,3684648.2549363547,8065410.967958275,1420261.3285207213,9424476.61169417,2737074.635831069,1244906.1871212113,14669984.392737243,1798294.6830892493,973745.8616034908,1180382.5991513585
1976,4543339.682087229,50759299.68985052,4023893.0599133987,818628.9949848856,9218245.17530357,3859096.201617004,2486697.408885009,1664101.9415671262,818618.3170636364,548616.6564195822,36770649.33262654,6495963.0226946445,2789238.271286978,2512821.282153082,1506789.6331389833,7564020.725690056,9036401.491482746,7489828.320222559,1364005.389264983,9838766.64632634,3184261.424289371,1191476.5691497396,12007816.985904504,2183059.612470917,1092126.8851171427,1188819.1991132186
1977,3495259.609705404,45009689.95460544,3434185.985462453,1085911.6438657772,5624674.398662429,7161486.639826944,2958898.3560337014,2084554.7737700345,793802.6821948087,543329.9228123522,31106913.905563187,6889246.380386275,3326224.1226614993,2273695.300604189,1467373.0569405043,6878191.979305107,18130043.507623408,8219165.52479623,1995043.2076030518,11294066.462232534,3893076.365728218,1362082.0873414578,12937260.326962022,1826217.1151408977,998760.1312944226,1064862.1534787863
1978,4184621.062199461,50255425.47480721,6019221.376852153,961317.5297024334,6448874.08156287,5321760.4251958355,3145751.0563689484,1591170.0491094613,784153.4009437987,600180.9815161412,29384886.37582123,7182224.178876695,2648052.581625108,2088996.6904041902,1228511.8116272648,6200681.973712888,9715657.455371866,9626638.301257422,2063212.4060615182,12089917.436376542,3767018.6804269673,1609785.5732722504,14416176.557664968,2013916.2787059087,1478163.6352198764,646462.1231604412
1979,5303811.6075044125,48561410.367459394,7864515.034119491,845130.6530503763,10254175.430016212,8589458.265642876,2327077.467104266,1300716.5330086246,799064.609512298,742842.2372205358,46639616.75769689,6301306.8824579725,1558109.4694417927,2548388.094149464,1592669.194945532,8789289.833520895,6350139.914130301,8913885.58768336,3427540.018396137,13922797.802687397,4774345.612415525,1717246.1774669455,18840600.10273027,2344131.366213246,1641798.937000759,642253.378887516
1980,5111641.362710677,31481294.024573687,6446095.460376655,765941.7328234898,25645635.713004522,7545974.633568272,2483006.8592975866,1581971.4505287635,911957.1625079013,946704.7539602864,33790238.86847659,4521885.218475463,2249922.65240476,3152320.3848989266,1912995.5570485692,11112704.791106306,4388575.977313083,8505715.079090461,1423309.801392141,15014723.609463656,4921538.567675657,1750585.220974558,13369589.196632667,2881561.647574712,1597249.2221258318,1117319.8455943323
