time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,73762173.46437383,690953791.7117088,128138074.786386,58675957.045960136,121234554.44390051,194217933.06430158,84946426.02158806,174589976.2769799,104403241.58363523,62960827.77604161,1134656842.1588879,185097980.40041342,61755639.13150021,85099064.7867718,41650336.43200904,244198048.2756521,168413974.12650326,566686347.7270592,50378746.27622356,1800495823.9186075,192446167.13008282,122915238.89708212,213075392.30864015,70172311.38969876,175587525.13064605,44035713.07019482
1972,4119973.7326083696,45875699.00221115,7025960.243879961,2134152.5126316403,11877026.039458925,5105663.4605167,3287076.574880422,4813633.004324394,2818387.2688988363,2048292.4376483096,40998383.27207822,5353272.8675091695,2772763.1228794428,1634977.6795808792,1059404.132547284,5153310.180889984,13303448.795967327,12508171.98419832,1246869.4797545513,44574079.92149372,5149358.753938155,3441167.5216193106,17175046.739158902,1561548.624943548,3069207.5775953145,999212.6909670256
1973,2889317.16882271,44799063.91296607,7104429.158245092,1965834.3184435358,14179558.121839218,4929629.827885425,1889361.9176836028,4857709.338187684,2372502.141979531,2185535.833590876,46803318.60146218,5215173.554140845,1526511.8715761928,1934267.2012971903,1335884.7524416468,6280242.847853762,4603061.667315913,10747506.142674485,1845380.502899635,49919300.394981906,5081701.5337108215,4537355.209916913,14710780.214887882,2332208.1158555513,2261951.9807927557,630713.2157639121
1974,1633293.8762781774,9719992.230880726,5811074.626643241,1674160.8668519,13449500.310663825,3949921.2999188905,1537513.9186280621,5295863.32624297,3901747.5361704584,2352156.118403195,28572090.420175996,8253661.967606655,2319295.4896094953,2311747.3226347454,1445036.0577319001,7191906.544214291,1362061.5585952988,14570616.984061016,2040941.3301613429,47663598.45729176,5464941.15283701,3843218.5283468934,5804077.443975729,3855614.4840129814,6610453.300344375,467042.14449692727
1975,3972304.8034674493,11129531.081959713,6142772.49027769,1751856.0500354944,5538658.069560667,6212828.723080139,3214562.179993824,6239642.633973184,3958053.2195969634,2583570.503506738,16662808.512738992,6760614.799555579,2724946.4067862304,2251257.119544262,1478525.809679903,7144863.888728435,3496406.656929478,16883979.129664704,1841018.9550481355,44994202.50695856,5938692.478039839,4652923.561875088,16815726.243938487,1740646.2439612534,5068901.050013138,1402306.9167663737
1976,5010064.057651806,54322447.4642155,6020099.011862111,2559470.956195723,13503610.191196093,4873218.028559833,3539173.778944534,5916775.828988949,4425971.570206122,2559205.321862875,42562731.343686625,8115889.777084602,3255814.953984366,2513600.2773295185,1527085.540886731,8445080.599769125,11228504.406665994,15739945.525633309,1754088.974556274,48017655.70090728,6581227.854363254,4705876.478494538,12904446.591600113,2388088.982134739,4898005.456470846,1697981.1799751313
1977,4273794.951127127,47467750.19503843,4991571.962579856,2751124.383222953,9523466.366956463,10400964.890088748,4444336.26548198,6503339.7236780925,4194131.417416998,1952672.744058946,36290731.78654435,8661927.067954851,3287411.195585694,2518218.4827438733,1662102.7531629156,8622039.815084917,28800345.662642013,17069090.552826054,1945403.320442416,51841476.84889806,8239671.201413713,4532907.617457496,15495504.28179516,1507874.9877666552,4837939.721506337,1514833.2473744608
1978,4687811.595180099,51512299.734905474,9176355.047638258,2858189.5501381196,9192030.64459923,6888644.007096576,4926365.345441275,6949641.557944152,4031632.546396418,2814546.6137806014,32486575.93642598,9484087.746959515,3034308.985928931,2413582.425368233,1749855.9902517425,8495258.171682006,13439743.87523438,20182473.31521767,2255564.920745955,56764178.62908931,7650458.445490104,6363043.898506416,16503395.311325217,1680807.8476984366,7249063.500924827,642605.3376823415
1979,2254016.825437501,35111349.54043438,10257579.328600973,1658190.875699652,14300589.162775105,10366742.21394357,3159667.3939164565,6436813.843560437,3430070.9955451395,3120643.4809394176,46253792.41366485,6906305.891659624,2035622.251760226,2593951.6459004553,1888581.138930084,10008446.496509226,6000287.140689948,17345555.52188895,2404911.4294119054,64563929.32391613,8072333.951595965,4325511.741685955,20837992.969022263,1745383.780288635,7213657.719658036,483039.99486323685
1980,2965802.435767757,17664855.65616003,7440274.350899059,1409377.2309937542,45392700.47590163,8610632.466420578,3304836.8587719095,5500699.8082702495,3913508.3306189934,3576495.7049556035,29787007.353600323,4702337.553685028,2928444.4003884764,3328620.2974779326,2200550.9135785047,12672943.355072184,3341442.142126072,16381146.231038116,1781494.0189346739,74681311.41672064,8565033.790011665,4554885.394670297,15341527.420558522,2776722.802466211,7252169.402523773,889453.1144452841
1981,4744940.798140724,20150208.885230456,13115216.992394172,2849414.4915096476,5780430.364766352,8113385.131343749,4804094.853098692,7552687.401278297,4868263.117398551,3582458.9384291335,24799945.898625687,3496926.5598959564,2449986.6327134394,3095819.910515356,2122704.657864978,11401964.009607816,2505886.699098283,20841345.47880451,2369948.11839647,78278419.8064454,9038092.655909,5342533.865036904,14785599.932683598,3119921.6844130442,6833993.693633393,4879194.490533961
1982,2110681.959716389,12283263.743298836,4146770.0417140652,1920085.505214656,2244367.1503464067,5486061.820485209,5250686.68901127,7446835.393954938,5255034.260926344,3372669.049411905,22276461.81477618,2849737.930089811,2155945.2869027075,2595333.3372617415,2084312.6731596997,9938039.209623432,21238236.013556533,21083904.841652166,2696716.229021841,83615757.57775722,9880803.872769587,7032957.586550709,18679476.078141004,2512544.8906067926,8237985.9990594685,2123725.48277186
1983,3079493.683368492,67963942.33475657,57387.24140263812,1752791.4717861942,1607256.2479069321,3815699.9736857195,5689638.046117392,9227833.833149524,4813568.16621224,3234202.0718694315,30905639.237960994,2902020.666952558,3633216.658663122,2557648.946200502,1733706.7118886604,9850059.888438595,13951045.272006352,24489553.55436323,3229085.105054641,92474376.21285903,9542379.070199128,7335277.242783578,18034200.711004943,2167263.403390801,8636824.004999682,1571125.179956025
1984,6721580.062361984,65272428.40138824,1680550.0940383326,2498606.8548064264,2915845.1450913996,4743002.385795239,6374347.11729813,9926773.851092765,4103762.030678383,3531048.1179562313,34521956.647321805,5048237.197447842,4306776.419408009,2605687.325050895,1859456.2541115908,9273607.06966347,8772317.614209425,22499753.6352689,3181064.4815074108,93670967.94642498,9355174.06091999,6905483.998211954,15608122.253800428,2829193.7961221654,8712079.713748656,2200805.0819670907
