time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,14460642.90637168,141442857.44312128,25003686.629383747,11478821.850423584,23622629.943901602,37892514.666510165,16604592.784952339,34387724.32348482,20663300.970417622,12456567.544683425,221064643.95207462,35923668.484849006,12395289.830023944,16234344.430892155,8237777.111330106,47794005.21118777,32855177.723625623,104803018.8386309,10122081.521512378,318034543.99712443,35543146.378311165,22914774.677998193,41858455.491226606,14038026.867507925,32375798.292108364,8593580.638587471
1972,809679.4907333354,9400108.960771,1352310.6489145162,411848.6952244902,2317073.2982045915,1000517.7745433105,638618.9133175166,941205.6453241616,557522.7261010371,406565.19102398044,7920372.598618567,1020687.0174808573,554268.2139666778,315253.3378881974,212260.67183268812,1020433.6918199257,2510884.673193014,2315985.422188649,247646.44739191627,7880355.1990014035,951999.9074121799,641378.7859566716,3345251.871783016,322020.2828367007,569168.7942040842,202942.47512182206
1973,611617.215644905,9263072.178984258,1377921.826883346,382162.35365267284,2791963.4653974674,954179.6169392406,372645.49996156374,950002.5730830586,467538.11455109424,428589.16865938477,9008275.958271839,997541.153852162,312343.26165309775,371871.9039740502,263075.2570243673,1229335.4386097637,923242.0237787289,1987264.9316472034,367052.06169761776,8826512.575358767,940519.5858673071,846677.9420003231,2897171.9554061242,465456.74592747504,415512.5640884748,127285.79808628318
1974,367084.786784399,1986023.6384937074,1135249.5744578426,324461.6139715548,2630861.229398979,769280.7014360231,309679.9283471374,1034920.9269758364,769624.138493626,462501.01576170546,5398027.981620077,1557241.496103526,466980.0957693326,450180.5192201487,288260.30567030836,1437690.0125433346,285053.83841110475,2698276.43853559,403559.0144017188,8430076.467661764,1007718.4389104212,719913.7927512268,1076465.3861263932,759292.1357882067,1218354.509488728,83330.60846470739
1975,761584.2138710226,2135882.6490336396,1178128.8622445595,339231.05703739834,1060536.822269278,1182285.0828074552,622342.9488754832,1224283.0121585636,777972.2456010858,508327.46918423654,3139393.972416036,1297850.3680294359,558843.7728285698,431669.538885696,291800.4829036722,1402118.9046816658,686593.7134009438,3114083.8502374436,365505.48228257766,7953664.542437817,1095514.3875092806,868512.7851716434,3253957.7469132454,345630.6905600614,934667.6198352142,273667.21524866053
1976,960515.9695333542,11168629.813155621,1157083.715403144,497360.87640365685,2612147.226465135,953175.3637040069,688617.0633091022,1156457.8967615434,871411.7981935265,500814.69932611636,8125190.508356358,1542807.0096048336,646866.4700281811,481439.00930475927,302248.7955201088,1652450.3735308303,2107997.68374274,2906511.486562907,342721.8357544894,8482129.856048958,1213573.872966622,877689.6432079617,2520737.9355414524,472560.9074077482,900334.2427434417,324878.72969716054
1977,816372.3796597403,9673674.146730902,971157.2570359024,531492.3886939042,1827441.123681778,2012711.7034503778,862963.5190496425,1269208.1196733338,826483.6675316914,376064.7099652619,6857837.643622886,1637364.3137187324,670863.8561252732,477647.88229567563,323486.0631373971,1670020.456461476,5580214.222620752,3155794.6034569084,384696.31226426683,9160503.803915232,1520928.585947673,848688.9616366465,2980495.1139233387,305150.1271531851,890496.5526070403,290748.2518809743
1978,911010.3311326333,10470304.514613792,1761375.8120358686,552787.0168830514,1762235.542868071,1333407.2250329724,949162.7634287245,1376684.917427754,795136.8128041648,546189.0097286156,6160906.5877217855,1792501.2673235184,614303.4800211344,461670.4002545075,339837.4805388821,1653463.81900001,2632638.3555202493,3730730.1934399796,451233.8387159157,10035843.046539389,1411900.5613240532,1192343.908874885,3206812.9515691013,335152.2904601703,1337874.9696258025,121174.47835287606
1979,492005.1112448352,7211507.908971204,1992912.9086347162,322822.5295910593,2768735.447089259,2031412.5904732095,626887.8315924203,1267023.2410079557,673183.9639922908,602976.9391147349,8847134.26665747,1302356.7846395099,400664.61049013335,508167.03981828806,371155.8650296652,1971491.1345800017,1244946.3647641435,3217897.1407119264,485809.2990427335,11425945.159903424,1497826.576630318,813866.4611597451,4043925.659631622,351892.83927653736,1332847.9024892247,93561.35168915469
1980,601540.316994859,3558795.122524518,1464947.0934508848,274805.8302128456,8880755.936432093,1664585.4757678872,665191.5423345768,1081091.883475646,771011.0701001005,692832.6338157051,5676558.3016119655,869350.2125011163,575752.101897466,651447.5661485603,432307.16070799116,2496742.567676952,699517.0770921059,3025314.444823536,347045.5749813869,13192949.209126538,1584641.0451213364,863057.2253997497,2911214.866592021,544856.5659194553,1338102.9831797956,173041.77154043253
