,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,86417275.01553297,772953075.5933697,82731389.14366935,17692734.94070349,85775047.31170179,134540764.04950747,51268310.92792751,35505605.580527864,20183462.333553497,31973732.68708002,1067552533.6887488,145853067.34940517,51467688.7452257,65155096.295178816,38059054.68884569,203918934.1272598,103302475.28200352,272245438.8845543,39768602.36369568,371974435.5532766,94212147.79090302,23648885.145523813,209273597.48479465,66211628.93795785,29517121.3514279,12960431.94794782
1972,4708098.602455619,45118605.52672526,4681071.917463757,578113.1259832523,8834033.36505957,3899495.267506365,2259538.6318546687,1139488.4942203052,549540.9597678318,844300.7546008406,39199252.88692642,4208564.667904564,2712683.91832249,1853402.8861321828,1184659.349563112,6057565.919121224,8418835.229548842,6203051.892586005,1011329.6441556948,9989038.476436429,2537952.3944825567,956563.7799507265,15137769.620569207,1722515.8800397043,565951.0188318519,533176.2057115624
1973,4973860.790267417,47605460.111483574,5089089.992949998,812190.5170031843,11082468.917436915,3988411.624456182,1290286.3006469742,1296244.4181056896,587969.6612524312,897488.3523603401,45346103.30573881,4617885.250425689,2097117.3200448456,2377178.563595062,1665766.9512935674,7273512.28180841,3800726.5507150725,5569870.685684584,1740201.1160920574,11060086.262344588,2832646.6116491864,989046.6443102979,15713087.500178687,2852055.157714278,595633.9719796577,561606.6313324566
1974,4071868.579038743,11640683.43545785,4108213.4173654206,396934.947509564,11245135.664680386,3451735.3627758366,1166241.9560324696,1274357.0916286667,762631.3347374732,426031.35463571805,25249212.582839295,6013883.197090497,2083173.4221670136,2987844.99848754,1920593.2230667658,8716998.301895434,1752312.0998876358,7766639.968275814,1958686.621473857,10710700.448397746,2578580.39585221,1215308.1980911086,6694800.306758494,3278135.6231738254,1186742.4600794516,528470.1176407913
1975,3524154.982555719,11154142.403495342,4094467.8294384703,625530.4473112994,4667437.7471911935,4587048.232547306,2148821.4403432463,1512397.6562704467,826097.9056586212,1245573.660082433,15055732.775807928,6206969.605068291,3234932.628237206,2921138.205986395,1783771.3266389903,8818837.125579754,3972789.681966137,8794390.12824163,1547323.9099895798,10255726.095832547,2951690.777520615,1336888.0207908757,15321959.971176997,1808759.1945219494,1059722.214236415,563991.2060710108
1976,4607634.21498086,52868312.0423376,4354152.460682229,863759.7527758143,9954832.420055224,4085700.8080991204,2709061.4981342275,1811113.4592478152,892781.1654784308,1254592.5250248436,38277207.26648373,6770495.842400652,3001741.70891818,2673545.818571064,1620289.3428312254,8072048.631161955,9863061.698839799,8154248.730800749,1485454.487353191,10700415.928838821,3442939.722075284,1276093.3843945907,12362884.802986016,2232307.36104004,1189327.3980993507,595148.9245094821
1977,3462136.31847718,46496370.21228695,3699972.1943355044,1156286.738378284,5997718.414825443,7714747.356898745,3225136.125379742,2268621.498183184,865004.1084622457,1118777.7554825486,32022026.088706788,7198975.79451123,3579625.2683563777,2408538.7309867977,1576242.704088513,7311325.991442496,19863577.180474274,8949233.871378839,2176109.7781586107,12283829.635611067,4221289.923794416,1459882.56194471,13374405.764842723,1831849.9253222782,1085550.202098881,589442.8591182346
1978,4223080.004318664,52184521.3650904,6541481.5042748535,1016895.1700495537,6893180.078522775,5671590.802037212,3426578.5346602695,1719298.2021736372,853519.9094871425,656974.5231326567,30097334.484495703,7520461.321127342,2827045.9575353377,2202226.1677328846,1311221.8264404386,6557939.135424254,10550773.840312034,10490395.892049966,2245235.6631149547,13139827.459377706,4077825.77297015,1727854.266517166,14981738.108162338,2045798.7579008727,1611249.9249520001,651835.6434134669
