year,region,region_name,shipping_type,source,ton_km_mega
1971,1,CAN,international shipping,preprocessed,2348617.0
1971,2,USA,international shipping,preprocessed,5524689.0
1971,3,MEX,international shipping,preprocessed,186278.4
1971,4,RCAM,international shipping,preprocessed,992992.1
1971,5,BRA,international shipping,preprocessed,466195.0
1971,6,RSAM,international shipping,preprocessed,1031910.0
1971,7,NAF,international shipping,preprocessed,695029.8
1971,8,WAF,international shipping,preprocessed,787987.2
1971,9,EAF,international shipping,preprocessed,294694.4
1971,10,SAF,international shipping,preprocessed,616322.6
1971,11,WEU,international shipping,preprocessed,29693660.0
1971,12,CEU,international shipping,preprocessed,2478382.0
1971,13,TUR,international shipping,preprocessed,166566.4
1971,14,UKR,international shipping,preprocessed,265619.3
1971,15,STAN,international shipping,preprocessed,134534.4
1971,16,RUS,international shipping,preprocessed,817555.4
1971,17,ME,international shipping,preprocessed,2101300.0
1971,18,INDIA,international shipping,preprocessed,396472.5
1971,19,KOR,international shipping,preprocessed,200331.5
1971,20,CHN,international shipping,preprocessed,1140927.0
1971,21,SEAS,international shipping,preprocessed,869489.7
1971,22,INDO,international shipping,preprocessed,249849.6
1971,23,JAP,international shipping,preprocessed,3888686.0
1971,24,OCE,international shipping,preprocessed,778730.9
1971,25,RSAS,international shipping,preprocessed,191841.5
1971,26,RSAF,international shipping,preprocessed,461260.8
1971,27,Unused,international shipping,preprocessed,0.0
1971,28,World Total,international shipping,preprocessed,56779920.0
1972,1,CAN,international shipping,preprocessed,2441427.0
1972,2,USA,international shipping,preprocessed,5711827.0
1972,3,MEX,international shipping,preprocessed,189835.6
1972,4,RCAM,international shipping,preprocessed,967112.6
1972,5,BRA,international shipping,preprocessed,525097.0
1972,6,RSAM,international shipping,preprocessed,995056.5
1972,7,NAF,international shipping,preprocessed,732248.1
1972,8,WAF,international shipping,preprocessed,785749.3
1972,9,EAF,international shipping,preprocessed,280664.5
1972,10,SAF,international shipping,preprocessed,588087.9
1972,11,WEU,international shipping,preprocessed,31030960.0
1972,12,CEU,international shipping,preprocessed,2594502.0
1972,13,TUR,international shipping,preprocessed,187023.2
1972,14,UKR,international shipping,preprocessed,277885.8
1972,15,STAN,international shipping,preprocessed,140190.6
1972,16,RUS,international shipping,preprocessed,854707.9
1972,17,ME,international shipping,preprocessed,2089664.0
1972,18,INDIA,international shipping,preprocessed,381768.3
1972,19,KOR,international shipping,preprocessed,211627.4
1972,20,CHN,international shipping,preprocessed,1257498.0
1972,21,SEAS,international shipping,preprocessed,871572.0
1972,22,INDO,international shipping,preprocessed,292068.4
1972,23,JAP,international shipping,preprocessed,4102754.0
1972,24,OCE,international shipping,preprocessed,783914.8
1972,25,RSAS,international shipping,preprocessed,298255.7
1972,26,RSAF,international shipping,preprocessed,423636.2
1972,27,Unused,international shipping,preprocessed,0.0
1972,28,World Total,international shipping,preprocessed,59015130.0
1973,1,CAN,international shipping,preprocessed,2514837.0
1973,2,USA,international shipping,preprocessed,5874257.0
1973,3,MEX,international shipping,preprocessed,202795.2
1973,4,RCAM,international shipping,preprocessed,1041587.0
1973,5,BRA,international shipping,preprocessed,528637.2
1973,6,RSAM,international shipping,preprocessed,1077780.0
1973,7,NAF,international shipping,preprocessed,760511.5
1973,8,WAF,international shipping,preprocessed,840819.1
1973,9,EAF,international shipping,preprocessed,308652.8
1973,10,SAF,international shipping,preprocessed,647228.7
1973,11,WEU,international shipping,preprocessed,31510050.0
1973,12,CEU,international shipping,preprocessed,2644638.0
1973,13,TUR,international shipping,preprocessed,188069.1
1973,14,UKR,international shipping,preprocessed,282789.1
1973,15,STAN,international shipping,preprocessed,146249.5
1973,16,RUS,international shipping,preprocessed,868849.6
1973,17,ME,international shipping,preprocessed,2267467.0
1973,18,INDIA,international shipping,preprocessed,414359.3
1973,19,KOR,international shipping,preprocessed,218778.0
1973,20,CHN,international shipping,preprocessed,1275075.0
1973,21,SEAS,international shipping,preprocessed,928364.6
1973,22,INDO,international shipping,preprocessed,289722.1
1973,23,JAP,international shipping,preprocessed,4195291.0
1973,24,OCE,international shipping,preprocessed,827452.9
1973,25,RSAS,international shipping,preprocessed,260802.9
1973,26,RSAF,international shipping,preprocessed,477879.9
1973,27,Unused,international shipping,preprocessed,0.0
1973,28,World Total,international shipping,preprocessed,60592940.0
1974,1,CAN,international shipping,preprocessed,2368739.0
1974,2,USA,international shipping,preprocessed,5672515.0
1974,3,MEX,international shipping,preprocessed,197581.9
1974,4,RCAM,international shipping,preprocessed,987441.1
1974,5,BRA,international shipping,preprocessed,552821.1
1974,6,RSAM,international shipping,preprocessed,1014311.0
1974,7,NAF,international shipping,preprocessed,761970.4
1974,8,WAF,international shipping,preprocessed,815374.3
1974,9,EAF,international shipping,preprocessed,281297.0
1974,10,SAF,international shipping,preprocessed,607576.1
1974,11,WEU,international shipping,preprocessed,30947150.0
1974,12,CEU,international shipping,preprocessed,2580796.0
1974,13,TUR,international shipping,preprocessed,191934.4
1974,14,UKR,international shipping,preprocessed,276796.3
1974,15,STAN,international shipping,preprocessed,142734.3
1974,16,RUS,international shipping,preprocessed,849855.3
1974,17,ME,international shipping,preprocessed,2253147.0
1974,18,INDIA,international shipping,preprocessed,383562.1
1974,19,KOR,international shipping,preprocessed,240308.4
1974,20,CHN,international shipping,preprocessed,1330479.0
1974,21,SEAS,international shipping,preprocessed,934700.1
1974,22,INDO,international shipping,preprocessed,329959.1
1974,23,JAP,international shipping,preprocessed,4194551.0
1974,24,OCE,international shipping,preprocessed,807011.1
1974,25,RSAS,international shipping,preprocessed,282426.8
1974,26,RSAF,international shipping,preprocessed,437117.8
1974,27,Unused,international shipping,preprocessed,0.0
1974,28,World Total,international shipping,preprocessed,59442160.0
1975,1,CAN,international shipping,preprocessed,2044317.0
1975,2,USA,international shipping,preprocessed,5161042.0
1975,3,MEX,international shipping,preprocessed,181076.3
1975,4,RCAM,international shipping,preprocessed,953764.6
1975,5,BRA,international shipping,preprocessed,564067.9
1975,6,RSAM,international shipping,preprocessed,943972.1
1975,7,NAF,international shipping,preprocessed,795766.1
1975,8,WAF,international shipping,preprocessed,787367.4
1975,9,EAF,international shipping,preprocessed,233069.9
1975,10,SAF,international shipping,preprocessed,535065.9
1975,11,WEU,international shipping,preprocessed,27919640.0
1975,12,CEU,international shipping,preprocessed,2309525.0
1975,13,TUR,international shipping,preprocessed,186988.5
1975,14,UKR,international shipping,preprocessed,242322.1
1975,15,STAN,international shipping,preprocessed,125242.5
1975,16,RUS,international shipping,preprocessed,745040.3
1975,17,ME,international shipping,preprocessed,2637728.0
1975,18,INDIA,international shipping,preprocessed,333368.5
1975,19,KOR,international shipping,preprocessed,250865.3
1975,20,CHN,international shipping,preprocessed,1247240.0
1975,21,SEAS,international shipping,preprocessed,916394.6
1975,22,INDO,international shipping,preprocessed,373465.4
1975,23,JAP,international shipping,preprocessed,4028706.0
1975,24,OCE,international shipping,preprocessed,718035.0
1975,25,RSAS,international shipping,preprocessed,281974.1
1975,26,RSAF,international shipping,preprocessed,361392.8
1975,27,Unused,international shipping,preprocessed,0.0
1975,28,World Total,international shipping,preprocessed,54877440.0
1976,1,CAN,international shipping,preprocessed,1912075.0
1976,2,USA,international shipping,preprocessed,5157956.0
1976,3,MEX,international shipping,preprocessed,185882.2
1976,4,RCAM,international shipping,preprocessed,1066014.0
1976,5,BRA,international shipping,preprocessed,602406.9
1976,6,RSAM,international shipping,preprocessed,983404.0
1976,7,NAF,international shipping,preprocessed,924968.8
1976,8,WAF,international shipping,preprocessed,870508.4
1976,9,EAF,international shipping,preprocessed,225051.5
