,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,75202.1774776824,683942.6621821227,38415.6268970999,19394.957518400766,52517.64043143555,63518.04497831373,22969.336449904033,40195.18093429004,23642.565243165354,21272.514767685563,613501.6226062751,80440.82732462179,20422.96963969507,30740.005367187085,16974.413397502438,97295.26330588752,53837.22655721539,123098.156737604,14275.792705735985,143402.38018793322,44853.93044873357,29122.73223867354,154609.50953124047,41767.71568000114,35304.65360217403,14901.224426515682
1962,93669.99457282269,826772.029998411,42459.69781802845,21533.812401803858,60441.37196556146,70942.03635116774,24833.518597745093,42464.23458032635,24931.263429108,23437.29957318426,722584.7505851511,92498.94801394163,22968.516328219048,33641.73134714501,18343.353880403385,105419.48990763548,58748.74425403347,130885.36317692047,15593.832315701433,155458.98806327424,48650.0339590291,31493.531943029495,186913.74154961537,50669.90528055309,37548.66070737971,15754.058495198247
1963,111807.99082427722,965572.3044508054,46226.25020422765,23531.260775856674,68002.53343272637,77971.50805108178,26508.231542707497,44444.42046801247,26070.850963700956,25465.219202795415,828147.8357182684,104218.90288525044,25414.985411089958,36418.49217572606,19646.66105127103,113199.07088446945,63169.86542887275,137733.29962893104,16820.38884975212,166618.6639035343,52126.7392037812,33654.806219076396,218330.0886444623,59390.14172848496,39497.36485764038,16517.677961991612
1964,129527.01710220907,1100900.8431104054,49875.985977101336,25464.74546041033,75341.66987589112,84798.72426594164,28117.716320599295,46343.64524325233,27168.638275439618,27428.871364578903,931022.7730955243,115653.87440325574,27799.605945157255,39121.71351755652,20914.56852327366,120777.10118341992,67422.13721841222,144294.8359800502,18008.63353308949,179426.45066229018,55486.89639234618,35740.648424228086,248962.45991112015,67906.25131523919,41359.21968288704,17254.80110244916
1965,146625.36522786127,1231550.729240102,53419.58398545088,27337.060203410507,82423.19618545259,91412.03243064243,29681.402771722973,48204.50614353886,28246.19858514034,29329.000180400064,1030406.3023655253,126704.57727211209,30110.586577040314,41740.3385618922,22143.7199190527,128123.26768033269,71554.0981578434,150693.8595501625,19162.491281957064,190654.03474939044,58757.11183340007,37769.61919431499,278537.67042926006,76127.67623957086,43175.75288904658,17977.14946260513
1966,162912.00576504564,1356244.9291073543,56847.68338313219,29141.3378210662,89193.97613808063,97775.73291860524,31203.254940714338,50043.69711742318,29311.71736548498,31157.313823385626,1125391.2561194696,137265.1061670779,32331.42689065794,44256.827347119724,23326.957418320544,135189.20654956167,75574.38137459676,156972.93834642824,20279.240161383415,200958.12107290002,61938.61601704639,39743.54902823077,306767.9451526143,83966.43525271151,44962.54333286407,18688.61764464332
1967,178232.23071454393,1473953.7821836926,60149.857958948945,30870.678303810262,95608.60243276478,103859.22262345547,32683.475016235305,51869.982895523826,30369.441508894255,32906.20727673697,1215229.04229885,147250.16676007028,34447.46784008296,46656.84866450326,24457.75998408096,141932.3426984799,79482.16992509496,163150.72172772148,21355.594036150178,211138.81787503316,65029.39025251536,41660.89045487406,333414.88712624507,91350.5688887293,46727.25115370233,19391.05124299694
1968,231557.3608730037,2065282.8747255502,77576.01643294671,40286.05472816223,127532.05055511337,143869.07207042666,37229.35306548388,57758.34305235036,34117.559210827676,44415.101453249874,1617403.7463532349,198739.01429377656,40252.8899785337,62422.133827559875,28732.923239413212,167818.6470689258,91046.10717544836,179582.34835212253,26256.27263284038,233718.21928874642,86183.4133212521,48961.52566913622,430776.53676362534,115356.1119791884,51732.58375808283,22406.59718801852
