! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_trvl_pkm.out;;;;;;;;;
real main.em.dem.trp.trvl.ProjT.pkm_global_tot[28,8](t) = [;;;;;;;;;
unit=tera pkm;;conversion factor =1000;;;;;;;
;;walking;cycling;bus;train;car;highspeed train;plane;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1971;1;0.004167843;0.00178622;0.04781153;0.05262773;0.4415492;0;0.02456358;0.5725061
1971;2;0.03823968;0.01638837;0.5949268;0.331259;3.767331;0;0.5046508;5.252795
1971;3;0.004436255;0.001901252;0.0541022;0.002865415;0.06575124;0;0.005212819;0.1342692
1971;4;0.003027424;0.001297468;0.03324194;0.000581227;0.04224024;0;0.01124076;0.09162906
1971;5;0.01096766;0.004700476;0.09851343;0.0211819;0.1874521;0;0.009124229;0.3319398
1971;6;0.01100401;0.004716003;0.1317046;0.02259844;0.148659;0;0.01436898;0.3330511
1971;7;0.002451744;0.001050748;0.02678922;0.005485961;0.02255211;0;0.009416687;0.06774648
1971;8;0.00916187;0.003926516;0.04563897;0.005697866;0.009419424;0;0.006649723;0.08049437
1971;9;0.006971482;0.002987777;0.03431224;0.003818129;0.006592657;0;0.006567764;0.06125005
1971;10;0.03986657;0.01708567;0.07809082;0.1703751;0.04049516;0;0.004346492;0.3502598
1971;11;0.1235837;0.05296544;0.5157015;0.8283802;2.53594;0;0.1767723;4.233344
1971;12;0.03370744;0.01444604;0.1092285;0.6717618;0.3054769;0;0.02013884;1.15476
1971;13;0.00568206;0.002435167;0.0181122;0.07323217;0.05642026;0;0.001124435;0.1570063
1971;14;0.01784081;0.007646061;0.04563702;0.4152933;0.06287369;0;0.06190472;0.6111956
1971;15;0.01109993;0.00475711;0.07156515;0.2022137;0.02838116;0;0.02896409;0.3469812
1971;16;0.06415411;0.02749463;0.4096076;1.156542;0.1699532;0;0.1776917;2.005443
1971;17;0.00632943;0.002712612;0.05515572;0.000391963;0.05440437;0;0.05590034;0.1748944
1971;18;0.05437886;0.02330522;0.07928446;0.6381657;0.047518;0;0.01008189;0.8527341
1971;19;0.001554901;0.000666386;0.02463266;0.00267913;0.02373519;0;0;0.05326827
1971;20;0.03250813;0.01393205;0.1459449;0.857733;0.05332839;0;0.01022673;1.113673
1971;21;0.009676016;0.004146863;0.08968148;0;0.06847769;0;0.04035092;0.212333
1971;22;0.002656364;0.001138442;0.02846043;0.002913194;0.02115658;0;0.001966937;0.05829195
1971;23;0.03099957;0.01328554;0.3067373;0.2192402;0.4693814;0;0.02234871;1.061993
1971;24;0.002261338;0.000969146;0.0320337;0.02138081;0.2395256;0;0.01445291;0.3106235
1971;25;0.004160552;0.001783094;0.0235305;0.01464852;0.01436381;0;0.006756611;0.06524309
1971;26;0.007462095;0.003198041;0.02615502;0.01962717;0.00644585;0;0.002672317;0.0655605
1971;27;0;0;0;0;0;0;0;0
1971;28;0.5383498;0.2307223;3.1266;5.740694;8.889424;0;1.227495;19.75328
1972;1;0.004307149;0.001845921;0.05086087;0.05376953;0.4549311;0;0.02592677;0.5916414
1972;2;0.03918923;0.01679538;0.6334454;0.3656979;3.815137;0;0.5128702;5.383135
1972;3;0.004750288;0.002035838;0.05794544;0.00344132;0.06958251;0;0.006018438;0.1437738
1972;4;0.002974019;0.00127458;0.03383762;0.000602732;0.04215097;0;0.009172717;0.09001264
1972;5;0.01202629;0.005154126;0.1095412;0.0205087;0.2064372;0;0.01032262;0.3639901
1972;6;0.01137147;0.004873485;0.1396583;0.01695082;0.1561083;0;0.01521019;0.3441726
1972;7;0.002793032;0.001197014;0.03133441;0.0058382;0.02658896;0;0.009425292;0.07717691
1972;8;0.01009255;0.004325378;0.05061787;0.006471613;0.01034407;0;0.006819665;0.08867115
1972;9;0.007019316;0.003008278;0.03596615;0.001831184;0.006809755;0;0.007035644;0.06167033
1972;10;0.03901836;0.01672216;0.08601106;0.1532106;0.04352538;0;0.00432002;0.3428076
1972;11;0.1267131;0.0543056;0.547936;0.7714698;2.649466;0;0.1910853;4.340976
1972;12;0.03261852;0.01397936;0.1141796;0.6233727;0.3126709;0;0.02063399;1.117455
1972;13;0.006115894;0.002621099;0.02004877;0.07507044;0.06350745;0;0.001630432;0.1689941
1972;14;0.01840724;0.007888814;0.0502586;0.4224662;0.06769665;0;0.06388342;0.6306009
1972;15;0.01157927;0.004962546;0.07872683;0.2059708;0.03083599;0;0.02988988;0.3619653
1972;16;0.06665678;0.0285672;0.4490895;1.171834;0.1841569;0;0.1833713;2.083676
1972;17;0.00703145;0.003013478;0.06042783;0.000383913;0.06024921;0;0.06318673;0.1942926
1972;18;0.05439575;0.02331247;0.0857462;0.6281044;0.05058721;0;0.01085332;0.8529994
1972;19;0.001532752;0.000656893;0.02475732;0.001912295;0.02365021;0;0;0.05250947
1972;20;0.03498622;0.01499409;0.1701653;0.9011914;0.06195337;0;0.01527781;1.198568
1972;21;0.01004461;0.004304837;0.09263159;0;0.07088066;0;0.04255999;0.2204217
1972;22;0.002821841;0.001209361;0.03021724;0.002761688;0.02260576;0;0.002307345;0.06192323
1972;23;0.03220605;0.0138026;0.3237553;0.2116008;0.4971419;0;0.02481822;1.103325
1972;24;0.00232016;0.000994355;0.0340904;0.01679583;0.2495411;0;0.01496144;0.3187033
1972;25;0.003861507;0.001654931;0.02588968;0.006595663;0.01552053;0;0.007031363;0.06055367
1972;26;0.008669111;0.003715334;0.03325231;0.01988087;0.007966977;0;0.002680484;0.07616509
1972;27;0;0;0;0;0;0;0;0
1972;28;0.553502;0.2372151;3.370391;5.687734;9.200047;0;1.281293;20.33018
1973;1;0.004538468;0.001945057;0.05510233;0.05616937;0.4762363;0;0.0294245;0.623416
1973;2;0.0395406;0.01694598;0.6630741;0.3850011;3.808985;0;0.5178571;5.431404
1973;3;0.005207231;0.002231671;0.06362445;0.004097896;0.07550004;0;0.006942527;0.1576038
1973;4;0.003154445;0.001351904;0.03643771;0.000624373;0.044508;0;0.00939708;0.09547351
1973;5;0.01365675;0.005852895;0.1256525;0.02052962;0.2354518;0;0.01219643;0.41334
1973;6;0.01204275;0.005161181;0.1476469;0.01987863;0.1637238;0;0.01603681;0.3644901
1973;7;0.003004772;0.00128776;0.03320307;0.006248162;0.02819378;0;0.01109016;0.0830277
1973;8;0.01113177;0.004770759;0.05615569;0.006149488;0.01137188;0;0.008221947;0.09780154
1973;9;0.007792535;0.003339657;0.03953263;0.003021409;0.00737665;0;0.007400782;0.06846367
1973;10;0.03958501;0.01696501;0.09696402;0.1419659;0.04755018;0;0.004755946;0.3477861
1973;11;0.130726;0.05602546;0.5794525;0.7573676;2.750185;0;0.2046959;4.478453
1973;12;0.03208747;0.01375178;0.1221014;0.5826759;0.3273992;0;0.02124686;1.099263
1973;13;0.006566679;0.002814291;0.02297315;0.07408203;0.07341725;0;0.001596699;0.1814501
1973;14;0.01862374;0.007981604;0.0535058;0.4216505;0.07152475;0;0.06473143;0.6380178
1973;15;0.01185876;0.005082325;0.08432223;0.2062325;0.0329196;0;0.03028664;0.3707021
1973;16;0.0680375;0.02915893;0.4791222;1.168566;0.1961459;0;0.1858054;2.126836
1973;17;0.007828922;0.003355253;0.06874678;0.000377953;0.06914522;0;0.06687425;0.2163284
1973;18;0.05133048;0.02199877;0.09024669;0.5784301;0.05257777;0;0.0103479;0.8049317
1973;19;0.001739871;0.00074566;0.02605244;0.001851335;0.02482765;0;0.004388108;0.05960505
1973;20;0.03630057;0.0155574;0.1984178;0.9055355;0.07229771;0;0.01548725;1.243596
1973;21;0.01053739;0.004516023;0.09775613;0;0.07516663;0;0.04325898;0.2312351
1973;22;0.002917093;0.001250183;0.03176358;0.001755486;0.02398557;0;0.002341563;0.06401347
1973;23;0.03343941;0.01433117;0.3506293;0.1810247;0.5361635;0;0.02998913;1.145577
1973;24;0.002407338;0.001031715;0.03597282;0.01870277;0.2562854;0;0.01627818;0.3306783
1973;25;0.003974425;0.001703325;0.02667339;0.00738013;0.01583254;0;0.006760553;0.06232436
1973;26;0.008295679;0.003555291;0.03230661;0.0180282;0.007553901;0;0.00314452;0.0728842
1973;27;0;0;0;0;0;0;0;0
1973;28;0.5663257;0.2427111;3.617436;5.567347;9.484325;0;1.330557;20.8087
1974;1;0.004589291;0.001966838;0.05743038;0.05700465;0.4772026;0;0.03220323;0.630397
1974;2;0.03746215;0.01605522;0.6536011;0.3853617;3.562235;0;0.491186;5.145901
1974;3;0.005362382;0.002298163;0.06510924;0.004120233;0.07618056;0;0.009229061;0.1622996
1974;4;0.003040714;0.001303163;0.03556059;0.000623344;0.04246464;0;0.009038854;0.09203131
