region,variable,2020,2060
Canada,Total freight. travel demand,74.61491442985792,104.57263284717897
Canada,Total pass. travel demand,32.95844464857292,44.9936398447452
Central Europe,Total freight. travel demand,41.34238662769424,72.14565885871563
Central Europe,Total pass. travel demand,13.661983443654105,23.525641442177232
China,Total freight. travel demand,14.985801052518951,27.603426558916844
China,Total pass. travel demand,6.933461524345149,19.24561887876772
India,Total freight. travel demand,2.3280761423150014,6.003385388418052
India,Total pass. travel demand,2.026243559250417,9.138568816278307
Japan,Total freight. travel demand,40.11602042856283,58.33001029218832
Japan,Total pass. travel demand,14.553730818141261,23.930608180480785
Latin America,Total freight. travel demand,13.073600862447183,24.74267023705492
Latin America,Total pass. travel demand,4.174475164017025,13.696734802162137
Middle East and Northern Africa,Total freight. travel demand,53.774422729650375,78.64786446287181
Middle East and Northern Africa,Total pass. travel demand,20.622084748211023,31.867418834230655
Other Asia,Total freight. travel demand,10.03187874987654,17.805248183821956
Other Asia,Total pass. travel demand,14.126878199665374,20.21546287763301
Other OECD,Total freight. travel demand,1.9608820830300053,4.038595367845643
Other OECD,Total pass. travel demand,1.7427003843253774,5.64553600910773
Reforming Economies,Total freight. travel demand,45.54591641738228,62.01669177171674
Reforming Economies,Total pass. travel demand,33.60461120402955,42.62177696054491
Subsaharan Africa,Total freight. travel demand,82.35136461782523,114.9715184738024
Subsaharan Africa,Total pass. travel demand,16.695643071476194,28.28647583295401
USA,Total freight. travel demand,11.081164933188406,21.64824450168902
USA,Total pass. travel demand,7.22956976672559,15.535617436319459
Western Europe,Total freight. travel demand,12.891771473229486,16.216739235422374
Western Europe,Total pass. travel demand,8.48455489186968,17.72391116958189
