Region,time,Steel,Cast iron,PE
1,2012,0.18,0.18,0.64
2,2012,0.18,0.18,0.64
3,2012,0.18,0.18,0.64
4,2012,0.18,0.18,0.64
5,2012,0.18,0.18,0.64
6,2012,0.18,0.18,0.64
7,2012,0.18,0.18,0.64
8,2012,0.18,0.18,0.64
9,2012,0.18,0.18,0.64
10,2012,0.18,0.18,0.64
11,2012,0.18,0.18,0.64
12,2012,0.18,0.18,0.64
13,2012,0.18,0.18,0.64
14,2012,0.18,0.18,0.64
15,2012,0.18,0.18,0.64
16,2012,0.18,0.18,0.64
17,2012,0.18,0.18,0.64
18,2012,0.18,0.18,0.64
19,2012,0.18,0.18,0.64
20,2012,0.18,0.18,0.64
21,2012,0.18,0.18,0.64
22,2012,0.18,0.18,0.64
23,2012,0.18,0.18,0.64
24,2012,0.18,0.18,0.64
25,2012,0.18,0.18,0.64
26,2012,0.18,0.18,0.64
1,2050,0.1,0.05,0.85
2,2050,0.1,0.05,0.85
3,2050,0.1,0.05,0.85
4,2050,0.1,0.05,0.85
5,2050,0.1,0.05,0.85
6,2050,0.1,0.05,0.85
7,2050,0.1,0.05,0.85
8,2050,0.1,0.05,0.85
9,2050,0.1,0.05,0.85
10,2050,0.1,0.05,0.85
11,2050,0.1,0.05,0.85
12,2050,0.1,0.05,0.85
13,2050,0.1,0.05,0.85
14,2050,0.1,0.05,0.85
15,2050,0.1,0.05,0.85
16,2050,0.1,0.05,0.85
17,2050,0.1,0.05,0.85
18,2050,0.1,0.05,0.85
19,2050,0.1,0.05,0.85
20,2050,0.1,0.05,0.85
21,2050,0.1,0.05,0.85
22,2050,0.1,0.05,0.85
23,2050,0.1,0.05,0.85
24,2050,0.1,0.05,0.85
25,2050,0.1,0.05,0.85
26,2050,0.1,0.05,0.85
