! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trvl_loadfactor.dat;;;;;;;;
real main.em.dem.trp.trvl.ModeT.loadfactor2[26,7](t) = [;;;;;;;;
unit=person/vehicle;;;;;;;;
;;;;bus;train;car;highspeedtrain;airplane
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7
1971;1;0;0;24.22732;32.51845;1.687623;310.333;124
1971;2;0;0;23.49061;31.52963;1.664334;310.333;124
1971;3;0;0;28.8396;38.70916;1.825295;310.333;124
1971;4;0;0;31.7182;42.57288;1.90514;310.333;124
1971;5;0;0;30.70826;41.21732;1.877599;310.333;124
1971;6;0;0;28.58295;38.36468;1.817968;310.333;124
1971;7;0;0;32.45224;43.55812;1.924855;310.333;124
1971;8;0;0;36.63122;49.16725;2.03269;310.333;124
1971;9;0;0;41.69897;55.96929;2.154737;310.333;124
1971;10;0;0;27.55711;36.98778;1.788311;310.333;124
1971;11;0;0;25.13881;33.74187;1.715904;310.333;124
1971;12;0;0;30.07877;40.37239;1.86018;310.333;124
1971;13;0;0;31.2976;42.00835;1.893729;310.333;124
1971;14;0;0;32.35999;43.43431;1.922391;310.333;124
1971;15;0;0;32.97095;44.25435;1.93864;310.333;124
1971;16;0;0;30.73828;41.25761;1.878424;310.333;124
1971;17;0;0;24.23678;32.53115;1.687919;310.333;124
1971;18;0;0;42.68812;57.29695;2.17759;310.333;124
1971;19;0;0;38.25418;51.34562;2.072734;310.333;124
1971;20;0;0;50.64211;67.97298;2.351626;310.333;124
1971;21;0;0;37.59414;50.4597;2.056563;310.333;124
1971;22;0;0;38.96924;52.30539;2.09008;310.333;124
1971;23;0;0;25.75124;34.56389;1.734591;310.333;124
1971;24;0;0;24.84988;33.35407;1.707002;310.333;124
1971;25;0;0;39.83456;53.46685;2.110838;310.333;124
1971;26;0;0;37.69775;50.59876;2.059112;310.333;124
1972;1;0;0;24.04144;32.26896;1.681784;310.333;124
1972;2;0;0;23.30422;31.27945;1.658378;310.333;124
1972;3;0;0;28.55122;38.32209;1.817059;310.333;124
1972;4;0;0;31.49189;42.26912;1.899011;310.333;124
1972;5;0;0;30.16947;40.49414;1.862702;310.333;124
1972;6;0;0;28.52792;38.29082;1.816392;310.333;124
1972;7;0;0;31.89409;42.80896;1.909886;310.333;124
1972;8;0;0;36.45385;48.92917;2.028255;310.333;124
1972;9;0;0;41.85431;56.17779;2.158346;310.333;124
1972;10;0;0;27.6241;37.07769;1.790266;310.333;124
