! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\global\pop.scn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
real main.em.dem.POP[28](t) = [;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit= million;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8;class_ 9;class_ 10;class_ 11;class_ 12;class_ 13;class_ 14;class_ 15;class_ 16;class_ 17;class_ 18;class_ 19;class_ 20;class_ 21;class_ 22;class_ 23;class_ 24;class_ 25;class_ 26;class_ 27;class_ 28
1971;21.88868;202.9079;51.89767;44.0666;98.76629;98.69305;72.56262;145.1282;88.02728;23.03144;352.343;115.8734;36.35995;60.58586;33.25372;143.6771;69.87732;569.9992;48.66999;864.1837;168.8495;120.8964;106.7894;17.34836;166.1363;46.2939;0;3768.107
1972;22.22222;205.2384;53.54343;45.02407;101.1944;100.8495;74.26316;148.7183;90.47132;23.69851;354.4558;116.8289;37.18803;61.06912;34.01164;144.6052;72.23176;582.838;49.74522;884.1987;172.9305;124.1148;108.2204;17.74228;169.5598;47.73538;0;3842.699
1973;22.50203;207.3148;55.2282;45.9811;103.6669;103.0439;76.02226;152.4995;92.97651;24.38251;356.3494;117.8393;38.02824;61.5024;34.7935;145.5311;74.67161;596.1075;50.78783;903.4708;177.03;127.3812;109.6795;18.05049;173.9762;49.28611;0;3918.103
1974;22.81243;209.278;56.94588;46.93873;106.1674;105.2849;77.85539;156.4865;95.68684;25.07702;358.0526;118.9103;38.86342;61.91057;35.59436;146.5016;77.21381;609.7219;51.75634;921.6447;181.0843;130.6785;111.1;18.34835;178.4912;50.91645;0;3993.322
1975;23.13625;211.2745;58.69188;47.89626;108.7005;107.549;79.95338;160.6874;98.46992;25.77796;359.4862;120.0227;39.67359;62.30651;36.41502;147.568;79.86169;623.5242;52.65395;937.8603;184.9676;134.0077;112.4116;18.6104;183.0685;52.61979;0;4067.195
1976;23.44211;213.27;60.45254;48.84081;111.2865;109.8229;82.31435;165.0015;101.3455;26.4803;360.642;121.1401;40.501;62.66348;37.25299;148.6873;82.91629;637.4515;53.44349;952.5714;188.7873;137.3769;113.6249;18.8305;187.6888;54.38139;0;4140.216
1977;23.71531;215.4374;62.2625;49.78416;113.9399;112.1561;84.63007;169.4696;104.1522;27.19984;361.7871;122.1842;41.38565;62.98051;38.11877;149.8342;86.11385;651.6856;54.14269;966.2366;192.93;140.7791;114.7615;19.03583;192.5139;56.19799;0;4213.435
1978;23.96269;217.8814;64.124;50.73838;116.6644;114.5601;86.91094;174.3146;107.215;27.94345;362.9032;123.108;42.29221;63.2617;38.99907;150.983;88.8064;666.2678;54.80208;979.2526;197.3946;144.2306;115.8095;19.23748;197.5844;58.0251;0;4287.272
1979;24.21912;220.4631;65.97292;51.6874;119.4473;117.0046;89.3048;179.4574;110.5537;28.69701;363.9696;123.9947;43.18748;63.56361;39.86361;152.0162;91.6413;681.2484;55.45709;992.8682;201.9027;147.735;116.7655;19.44024;202.7832;59.90697;0;4363.151
1980;24.51151;223.14;67.70518;52.63398;122.2884;119.4984;91.82403;184.6315;113.5652;29.46355;365.1858;124.816;44.08907;63.89442;40.71992;152.9214;94.9939;696.8284;56.14415;1007.394;206.5344;151.2819;117.6242;19.6711;208.1647;61.99983;0;4441.525
1981;24.81579;225.654;69.23377;53.56724;125.1681;122.0359;94.4413;189.8803;116.9196;30.23256;366.3555;125.547;44.98188;64.20573;41.59121;153.8252;99.02378;712.8693;56.96711;1022.726;211.3922;154.8554;118.3857;19.9498;213.3472;64.12015;0;4522.091
1982;25.10152;228.0014;70.65678;54.53316;128.0651;124.606;97.1493;195.3435;120.7811;31.02242;367.2964;126.2339;45.94999;64.49062;42.49566;154.8371;103.13;729.1695;57.90551;1039.381;216.371;158.4639;119.0981;20.25524;218.8744;66.17929;0;4605.393
1983;25.36073;230.39;72.08031;55.57487;130.9774;127.2206;99.97727;200.6745;124.4042;31.86518;368.1133;126.8762;47.02642;64.78642;43.4448;156.0209;106.869;745.8265;58.82511;1055.547;221.4794;162.0943;119.7938;20.54559;225.1118;68.34614;0;4689.232
1984;25.60208;232.7663;73.48965;56.6541;133.8888;129.8695;102.8756;206.0388;127.8904;32.76821;368.9208;127.4796;48.10677;65.08814;44.43137;157.2417;110.8324;762.8951;59.70951;1070.903;226.6891;165.7064;120.4707;20.81463;231.4505;70.53848;0;4773.122
1985;25.84392;235.1462;74.87201;57.74484;136.7832;132.5351;105.8144;211.724;131.5129;33.75296;369.7906;128.0277;49.17567;65.3513;45.44885;158.4273;114.8022;780.2421;60.5582;1087.371;231.916;169.2393;121.119;21.08198;237.9007;72.77347;0;4858.955
1986;26.11607;237.5128;76.22437;58.84277;139.6434;135.2345;108.7627;217.5543;135.3248;34.87783;370.7217;128.5125;50.22388;65.6217;46.54914;159.7605;118.8891;797.879;61.42175;1105.295;237.1876;172.6582;121.7103;21.3642;244.29;75.04767;0;4947.225
1987;26.43689;239.8532;77.5535;59.95427;142.4663;137.979;111.655;223.5841;139.3672;36.11933;371.8036;128.9396;51.25015;65.89552;47.72891;161.2115;123.128;815.7161;62.30915;1124.76;242.4869;176.0217;122.2689;21.6694;250.6557;77.27033;0;5038.084
1988;26.81506;242.2878;78.89201;61.09546;145.254;140.7702;114.5194;229.8343;143.1986;37.39385;373.0248;129.2781;52.27589;66.13456;48.92838;162.5425;127.3027;833.7297;63.18592;1144.165;247.791;179.3743;122.7983;21.99129;257.2748;79.47641;0;5129.334
1989;27.24441;244.9541;80.23375;62.25968;148.0034;143.5956;117.3626;236.3355;146.9617;38.66868;374.3123;129.5434;53.30523;66.34154;50.02933;163.584;131.5346;852.0127;64.06248;1163.03;253.131;182.7133;123.2706;22.31677;264.135;81.7453;0;5220.687
1990;27.6572;248.0837;81.72043;63.44194;150.7065;146.4376;120.159;242.8469;151.1329;39.87757;375.6524;129.7434;54.32414;66.49854;50.97853;164.3817;135.5817;870.4521;64.91956;1182.641;258.584;186.0248;123.6863;22.66813;270.8605;84.04156;0;5313.102
1991;28.01576;251.5602;83.35159;64.62524;153.3364;149.2627;122.8821;249.4908;155.3656;40.91096;377.107;129.7918;55.32117;66.62136;51.90228;164.9334;139.8948;888.9418;65.60294;1199.883;264.0562;189.3522;124.074;23.0088;277.5388;86.28606;0;5403.117
1992;28.34764;255.1753;84.99316;65.8003;155.9008;152.0642;125.5753;256.424;159.533;41.76075;378.6495;129.4724;56.30204;66.75597;52.71539;165.1828;144.3788;907.574;66.1437;1213.382;269.6045;192.6951;124.4447;23.28333;284.8164;88.52743;0;5489.502
1993;28.66817;258.7798;86.64845;66.963;158.4409;154.8587;128.2606;263.4978;163.891;42.52544;380.0939;129.0198;57.29601;66.75259;53.32275;165.2222;147.9496;926.3513;66.70588;1225.722;275.2171;196.0289;124.7796;23.5271;292.8288;90.84763;0;5574.199
1994;28.98119;262.2736;88.31442;68.10623;160.9805;157.6539;130.8993;271.3184;167.5141;43.26798;381.3854;128.7069;58.31025;66.44527;53.77981;165.0226;151.3027;945.262;67.271;1237.439;280.6692;199.3802;125.1193;23.781;300.8955;93.36421;0;5657.444
1995;29.28942;265.6606;89.96957;69.24025;163.5153;160.4281;133.4795;279.2804;171.5596;43.98608;382.5779;128.4658;59.30549;65.98419;54.19978;164.6472;154.959;964.2791;67.77895;1248.571;285.9606;202.7566;125.434;24.06287;308.5986;95.8948;0;5739.885
1996;29.59385;268.9843;91.58656;70.35969;166.0371;163.1593;136.0193;286.4544;177.3357;44.6616;383.7012;128.3029;60.29379;65.48276;54.61345;164.2427;158.6086;983.2812;68.27451;1259.006;291.2308;206.1597;125.7262;24.35969;316.1261;98.15527;0;5821.757
1997;29.88275;272.3954;93.18309;71.46928;168.5467;165.8644;138.5593;293.6729;183.0988;45.28505;384.8255;128.0865;61.27743;64.96407;54.91685;163.8515;162.3505;1002.335;68.78976;1268.801;296.4871;209.5884;126.028;24.64302;323.6728;100.4629;0;5903.038
1998;30.14481;275.835;94.76729;72.56544;171.0398;168.5402;141.0652;301.5182;188.3679;45.85217;385.9401;127.7534;62.2422;64.45687;55.12976;163.4728;166.2137;1021.435;69.2739;1278.12;301.6501;212.9943;126.3084;24.90782;331.4148;102.9523;0;5983.961
1999;30.39978;279.1816;96.33481;73.65019;173.4863;171.1764;143.5343;309.7661;193.773;46.36468;387.0484;127.3758;63.18562;63.93234;55.42852;163.0384;170.1533;1040.5;69.72494;1286.986;306.625;216.3183;126.5551;25.16982;339.3748;105.5025;0;6064.586
2000;30.68331;282.3986;97.87344;74.71477;175.8737;173.7575;146.0189;318.3719;199.426;46.81327;388.2343;127.1732;64.11355;63.38781;55.93912;162.4689;174.2026;1059.634;70.15565;1295.908;311.325;219.5807;126.8039;25.44759;347.3118;108.1567;0;6145.773
2001;31.00276;285.4705;99.39429;75.74948;178.2119;176.2601;148.5402;327.413;205.2716;47.22971;389.4989;126.9942;65.07202;62.81624;56.55508;161.7952;178.308;1078.971;70.57731;1304.786;315.8641;222.8109;127.0657;25.75025;355.3438;110.8377;0;6227.59
2002;31.3224;288.3503;100.9171;76.76643;180.4767;178.6972;151.1176;336.7642;211.3161;47.66151;391.1292;126.6313;65.98866;62.25957;57.18536;161.1284;181.9651;1098.313;70.95908;1313.189;320.3749;226.0077;127.3018;26.07413;363.7571;113.5741;0;6309.228
2003;31.61945;291.1098;102.4293;77.76266;182.6293;181.0729;153.7281;346.3373;217.5543;48.10405;393.1879;126.2143;66.86732;61.7655;57.83237;160.511;185.6089;1117.415;71.32144;1321.333;324.8433;229.1711;127.5023;26.40492;371.943;116.4409;0;6390.709
