! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_frgt_Tkm.out;;;;;;;;;
real main.em.dem.trp.frgt.ProjF.TkmGlobalTot[28,8](t) = [;;;;;;;;;
unit= million Tkm;;conversionfactor =0.001;;;;;;;
;;national shipping;train;medium truck;heavy truck;plane;international shipping;;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1971;1;335661.7;355743.4;44141.61;107253.1;2595.248;2348616;0;3194011
1971;2;1058035;2173433;542835.3;1321106;47573.38;5524688;0;1.07E+07
1971;3;0;3005.459;14295.47;39701.77;326.2227;186278.4;0;243607.3
1971;4;53923.5;554.285;8087.565;22277.19;1306.419;992991.9;0;1079141
1971;5;151263.7;66580.16;26825.53;71841.65;843.0681;466195;0;783549.1
1971;6;189759.6;18076.65;34285.53;95321.65;1196.275;1031910;0;1370550
1971;7;34025.61;3681.129;5980.506;7737.372;448.2918;695029.7;0;746902.6
1971;8;26262.18;3420.506;4589.27;11168.85;462.9927;787987.2;0;833891
1971;9;12123.66;10937.05;3054.981;7393.081;457.286;294694.4;0;328660.4
1971;10;0;40060.93;11586.13;26864.88;268.4576;616322.6;0;695102.9
1971;11;1656179;137035;246795.7;908313.6;13676.55;2.97E+07;0;3.27E+07
1971;12;130688.1;36468.14;32294.67;119977.2;1063.585;2478382;0;2798874
1971;13;79111.91;3988.674;8249.521;9177.697;82.02919;166566.4;0;267176.2
1971;14;393915.2;306847.4;10137.38;38653.75;2154.821;265619.2;0;1017328
1971;15;196872.7;181586.5;3613.096;8786.597;1409.606;134534.4;0;526802.9
1971;16;1207713;1114015;21939.51;53528.94;8647.789;817555.3;0;3223399
1971;17;0;442.8484;14763.81;19407.79;3026.292;2101300;0;2138940
1971;18;66266.65;22819.31;6096.767;30174.21;518.0073;396472.5;0;522347.4
1971;19;51052.16;0;2669.126;11155.4;0;200331.5;0;265208.2
1971;20;35553.32;12812.24;7846.148;36369.54;1263.081;1140927;0;1234771
1971;21;64156.3;0;15768.91;51351.34;3517.566;869489.6;0;1004284
1971;22;9281.563;0;4724.451;15369.57;241.3412;249849.6;0;279466.5
1971;23;911682.4;95579.76;42709.44;211399.3;3575.462;3888685;0;5153632
1971;24;226387.5;15051.27;15363.34;48278.23;1242.532;778730.9;0;1085054
1971;25;6289.88;6950.864;1903.956;9508.546;347.1546;191841.5;0;216841.9
1971;26;476.118;4092.375;2670.598;6353.074;186.0623;461260.8;0;475039
1971;27;0;0;0;0;0;0;0;0
1971;28;6896681;4613181;1133228;3288470;96429.52;5.68E+07;0;7.28E+07
1972;1;368029.8;373554.3;47184.14;114640.9;2739.275;2441451;0;3347599
1972;2;856149.5;2448002;579095.6;1409248;48348.7;5711882;0;1.11E+07
1972;3;0;3645.967;15408.37;42762.16;376.639;189837.5;0;252030.6
1972;4;44293.93;578.9241;8270.729;22793.96;1067.844;967122.1;0;1044127
1972;5;178802.8;68770.66;30159.73;81048.79;953.7646;525102.1;0;884837.9
1972;6;196460.3;20696.21;36257.89;100766;1266.309;995066.2;0;1350513
1972;7;35369.86;4024.5;7048.629;9130.495;448.7015;732255.1;0;788277.3
1972;8;27650.48;3564.097;5099.233;12391.97;474.8249;785756.9;0;834937.6
1972;9;13972.14;11685.68;3182.914;7699.99;489.8627;280667.2;0;317697.8
1972;10;0;41647.79;12616.82;29414.59;266.8225;588093.6;0;672039.6
1972;11;1650537;134720.2;261779.9;967579.9;14783.99;3.10E+07;0;3.41E+07
1972;12;141311.6;38471.94;33625.02;125221.7;1089.736;2594366;0;2934086
1972;13;95416.17;4229.46;9398.954;10399.28;118.9423;187025;0;306587.8
1972;14;422434.8;326229.1;11113.23;42435.14;2223.697;277888.4;0;1082324
1972;15;211127.3;190255;3960.285;9632.479;1454.662;140191.9;0;556621.6
1972;16;1295160;1156938;24035.81;58620.29;8924.202;854716.3;0;3398394
1972;17;0;442.8484;16475.29;21668.44;3420.756;2089685;0;2131692
1972;18;54207.4;24550.68;6520.421;32337.44;557.6437;381772.1;0;499945.7
1972;19;51047.23;537.1093;2679.683;11166.98;0;211629.5;0;277060.5
1972;20;46816.98;13927.73;9115.569;42438.82;1886.928;1257510;0;1371696
1972;21;62105.39;0;16311.98;53073.64;3710.14;871580.5;0;1006782
1972;22;11901.95;0;5040.195;16402.17;283.1088;292071.3;0;325698.7
1972;23;821608.8;92653.52;45147.15;225207.8;3970.547;4102795;0;5291383
1972;24;191968.9;15845.81;16233.34;51358.48;1286.25;783922.4;0;1060615
1972;25;6435.398;5675.28;2056.68;10279.86;361.2712;298258.6;0;323067.1
1972;26;714.1758;4882.133;3380.52;8060.81;186.6309;423640.4;0;440864.7
1972;27;0;0;0;0;0;0;0;0
1972;28;6783521;4985530;1211198;3515780;100691.3;5.90E+07;0;7.56E+07
1973;1;386717.2;381274.7;51455.59;125039.3;3054.635;2514902;0;3462443
1973;2;695591;2624463;608187.8;1479956;48656.72;5874408;0;1.13E+07
1973;3;0;4385.014;17015.31;47222.56;434.4694;202800.4;0;271857.8
1973;4;44733.02;603.5494;8935.125;24646.42;1092.144;1041613;0;1121624
1973;5;221283.6;76618.65;35173.97;94665.94;1113.802;528650.8;0;957506.8
1973;6;160588.2;28764.77;38343.51;106546.8;1347.753;1077808;0;1413399
1973;7;36662.3;4314.141;7423.765;9621.499;532.8273;760531;0;819085.6
1973;8;29235.5;3564.098;5664.038;13767.73;572.4601;840840.8;0;893644.6
1973;9;14662.22;10896.09;3471.56;8405.546;515.2858;308660.7;0;346611.4
1973;10;0;43354.43;14136.74;33083.29;291.1515;647245.3;0;738110.9
1973;11;1845275;138256.7;277150;1028550;15837.02;3.15E+07;0;3.48E+07
1973;12;137713.8;39885.63;35835.64;133965.6;1135.27;2643854;0;2992390
1973;13;127548.2;4553.95;10905.08;12021.32;116.4814;188073.9;0;343218.9
1973;14;436545.3;341027.6;11995.2;45868.02;2253.215;282796.3;0;1120486
1973;15;218179.7;196981.2;4279.618;10417.27;1473.972;146253.3;0;577585
1973;16;1338422;1183973;25981.13;63392.67;9042.665;868871.9;0;3489684
1973;17;0;442.8484;19012.4;25018.19;3620.389;2267525;0;2315619
1973;18;41426.28;25605.6;6820.954;33895.73;526.7311;414369.9;0;522645.2
1973;19;63862.15;570.2205;2849.151;11894.4;399.8021;218783.6;0;298359.3
1973;20;51935.6;14927.78;10666.32;49829.98;1858.033;1275108;0;1404325
1973;21;60680.97;0;17323.48;56354.59;3917.317;928388.4;0;1066665
1973;22;12821.75;0;5352.437;17418.58;287.3073;289729.5;0;325609.6
1973;23;989393.6;101228.8;49115.85;246167.2;4797.818;4195398;0;5586102
1973;24;257529.1;21293.37;17085.86;54321.11;1391.957;827474.1;0;1179096
1973;25;6553.273;3438.274;2110.197;10560.78;347.3572;260809.6;0;283819.5
1973;26;714.171;5456.5;3282.031;7846.689;218.9399;477892.1;0;495410.5
1973;27;0;0;0;0;0;0;0;0
1973;28;7178074;5255880;1289573;3750477;104835.5;6.06E+07;0;7.82E+07
1974;1;361513.2;406007.3;53602.2;130276.6;3285.829;2368655;0;3323340
1974;2;609936.7;2632127;594476.7;1446510;45998.05;5672313;0;1.10E+07
1974;3;0;4434.283;17433.41;48383.23;577.5625;197574.9;0;268403.4
1974;4;46009.38;603.5635;8702.846;24026.98;1050.51;987406.1;0;1067799
1974;5;379357.7;86190.9;36824.25;99286.21;1253.989;552802.2;0;1155715
1974;6;152327.5;50339.46;39813.15;110612.5;1390.901;1014275;0;1368759
