region,year,mode,variable,value
Canada,2019,airplane,load,124.0
Canada,2019,bus,load,20.59569
Canada,2019,bus,pkm_per_capita,2910.828626389763
Canada,2019,car,load,1.568691
Canada,2019,car,pkm_per_capita,28724.597295814943
Canada,2019,cycling,pkm_per_capita,114.23079116627908
Canada,2019,heavy truck,tkm_per_capita,6927.612653500905
Canada,2019,highspeed train,pkm_per_capita,0.0
Canada,2019,highspeedtrain,load,310.333
Canada,2019,international shipping,tkm_per_capita,62081.258804698395
Canada,2019,medium truck,tkm_per_capita,2627.5738501990004
Canada,2019,national shipping,tkm_per_capita,7523.821656186755
Canada,2019,plane,pkm_per_capita,3490.0505242443355
Canada,2019,plane,tkm_per_capita,285.55712320421463
Canada,2019,train,load,27.644
Canada,2019,train,pkm_per_capita,1106.1797989370666
Canada,2019,train,tkm_per_capita,6486.129152099882
Canada,2019,walking,pkm_per_capita,266.5384416529993
Canada,2060,airplane,load,124.0
Canada,2060,bus,load,18.26099
Canada,2060,bus,pkm_per_capita,2908.426290169029
Canada,2060,car,load,1.486018
Canada,2060,car,pkm_per_capita,28152.667986692883
Canada,2060,cycling,pkm_per_capita,7.756673939246554
Canada,2060,heavy truck,tkm_per_capita,9068.658404757989
Canada,2060,highspeed train,pkm_per_capita,1677.25151750048
Canada,2060,highspeedtrain,load,310.333
Canada,2060,international shipping,tkm_per_capita,72902.3857654563
Canada,2060,medium truck,tkm_per_capita,3373.5351785144317
Canada,2060,national shipping,tkm_per_capita,8599.496400326276
Canada,2060,plane,pkm_per_capita,10321.080487055591
Canada,2060,plane,tkm_per_capita,532.5004640357338
Canada,2060,train,load,24.51031
Canada,2060,train,pkm_per_capita,1922.6665450731841
Canada,2060,train,tkm_per_capita,10094.363911791297
Canada,2060,walking,pkm_per_capita,0.45597555970999953
Central Europe,2019,airplane,load,124.0
Central Europe,2019,bus,load,23.68307
Central Europe,2019,bus,pkm_per_capita,2694.782049275816
Central Europe,2019,car,load,1.670456
Central Europe,2019,car,pkm_per_capita,9541.784755910257
Central Europe,2019,cycling,pkm_per_capita,180.10180721046092
